zr_conc,repeat_index,seed,reached_target,time_to_target_seconds,final_entities,steps_executed,simulated_time_seconds,prebound_fraction,effective_zr6_conc,effective_zr6_fraction_for_growth,effective_linker_conc,external_addition_activity,total_external_addition_channel_activity,legacy_external_addition_activity,free_zr6_addition_activity,free_linker_addition_activity,prebound_zr_bdc_addition_activity,distorted_chemistry_model,prebound_growth_attempts,prebound_growth_successes,prebound_growth_failures,prebound_entities_added,prebound_linkages_formed,prebound_free_growth_site_delta,prebound_ready_pair_delta,wall_seconds
24.0,0,41000,True,80.65075220183455,8,6802,80.65075220183455,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,590,527,63,1054,1054,5270,0,1.0682566165924072
24.0,1,41001,True,83.52317092512213,8,7788,83.52317092512213,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,650,598,52,1196,1196,5980,0,1.200211524963379
24.0,2,41002,True,106.37289626678715,8,9890,106.37289626678715,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,896,825,71,1650,1650,8250,0,1.5422108173370361
24.0,3,41003,True,8.065966040327009,8,796,8.065966040327009,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,67,64,3,128,128,640,0,0.12871670722961426
24.0,4,41004,True,181.7357379487516,8,16333,181.7357379487516,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,1418,1308,110,2616,2616,13080,0,2.4996821880340576
24.0,5,41005,True,92.98409084679625,8,8508,92.98409084679625,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,755,681,74,1362,1362,6810,0,1.3369872570037842
24.0,6,41006,True,13.469749940840135,8,1332,13.469749940840135,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,128,117,11,234,234,1170,0,0.22422289848327637
24.0,7,41007,True,47.4941999111592,8,4266,47.4941999111592,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,377,335,42,670,670,3350,0,0.6856024265289307
24.0,8,41008,True,82.90566011489706,8,7872,82.90566011489706,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,682,623,59,1246,1246,6230,0,1.194272518157959
24.0,9,41009,True,126.41188610743143,8,11850,126.41188610743143,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,1026,941,85,1882,1882,9410,0,1.792788028717041
