sample,pkl_path,total_entities,Zr6_count,Zr12_count,Zr_atom_count,free_carboxylates_count,Linker_free_carboxylates_count,MC_free_carboxylates_count,linked_carboxylate_pairs_count,ready_to_connect_carboxylate_pairs_count,entity_Ligand_count,entity_Zr_count
assembly_2025-11-17_20-13-14_entity_number_200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_20-13-14_entity_number_200.pkl,200,1,31,378,386,76,310,260,0,168,32
assembly_2025-11-17_20-25-46_entity_number_400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_20-25-46_entity_number_400.pkl,400,6,62,780,814,145,669,519,0,332,68
assembly_2025-11-17_20-45-31_entity_number_600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_20-45-31_entity_number_600.pkl,600,14,89,1152,1230,227,1003,767,0,497,103
assembly_2025-11-17_21-27-46_entity_number_800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_21-27-46_entity_number_800.pkl,800,24,117,1548,1658,291,1367,1027,0,659,141
assembly_2025-11-17_22-19-57_entity_number_1000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_22-19-57_entity_number_1000.pkl,1000,34,145,1944,2060,342,1718,1300,0,821,179
assembly_2025-11-17_23-32-21_entity_number_1200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_23-32-21_entity_number_1200.pkl,1200,41,176,2358,2490,398,2092,1568,0,983,217
assembly_2025-11-18_01-12-48_entity_number_1400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_01-12-48_entity_number_1400.pkl,1400,47,202,2706,2826,464,2362,1838,0,1151,249
assembly_2025-11-18_03-26-15_entity_number_1600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_03-26-15_entity_number_1600.pkl,1600,56,228,3072,3210,533,2677,2099,0,1316,284
assembly_2025-11-18_05-55-59_entity_number_1800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_05-55-59_entity_number_1800.pkl,1800,63,257,3462,3618,598,3020,2362,0,1480,320
assembly_2025-11-18_10-19-11_entity_number_2000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_10-19-11_entity_number_2000.pkl,2000,70,284,3828,3990,665,3325,2627,0,1646,354
assembly_2025-11-18_16-37-40_entity_number_2200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_2_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_16-37-40_entity_number_2200.pkl,2200,78,312,4212,4378,723,3655,2897,0,1810,390
