sample,pkl_path,total_entities,Zr6_count,Zr12_count,Zr_atom_count,free_carboxylates_count,Linker_free_carboxylates_count,MC_free_carboxylates_count,linked_carboxylate_pairs_count,ready_to_connect_carboxylate_pairs_count,entity_Zr_count,entity_Ligand_count
assembly_2025-11-17_20-13-47_entity_number_200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_20-13-47_entity_number_200.pkl,200,5,26,342,372,91,281,247,0,31,169
assembly_2025-11-17_20-31-45_entity_number_400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_20-31-45_entity_number_400.pkl,400,16,53,732,776,146,630,516,0,69,331
assembly_2025-11-17_21-02-07_entity_number_600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_21-02-07_entity_number_600.pkl,600,21,85,1146,1224,215,1009,773,0,106,494
assembly_2025-11-17_21-39-14_entity_number_800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_21-39-14_entity_number_800.pkl,800,27,114,1530,1644,293,1351,1025,0,141,659
assembly_2025-11-17_22-52-27_entity_number_1000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-17_22-52-27_entity_number_1000.pkl,1000,31,146,1938,2062,354,1708,1292,0,177,823
assembly_2025-11-18_00-24-47_entity_number_1200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_00-24-47_entity_number_1200.pkl,1200,38,179,2376,2534,411,2123,1555,0,217,983
assembly_2025-11-18_02-05-46_entity_number_1400,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_02-05-46_entity_number_1400.pkl,1400,45,210,2790,2950,460,2490,1830,0,255,1145
assembly_2025-11-18_03-28-54_entity_number_1600,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_03-28-54_entity_number_1600.pkl,1600,53,234,3126,3298,538,2760,2088,0,287,1313
assembly_2025-11-18_06-10-10_entity_number_1800,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_06-10-10_entity_number_1800.pkl,1800,59,261,3486,3650,602,3048,2358,0,320,1480
assembly_2025-11-18_08-41-11_entity_number_2000,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_08-41-11_entity_number_2000.pkl,2000,62,293,3888,4066,669,3397,2621,0,355,1645
assembly_2025-11-18_13-26-33_entity_number_2200,/mnt/syh/UiO66_growth_data/UiO66_initial_structure/20251117-Zr6-Zr12_stage1/UiO66_BDC_251117/Stage_1/Zr_22.9154705859894_FA_1473.06341756944_L_69.1596872253079_Ratio_1e-10_Step_1e15_Index_1_SC_0.789387907185137_KC_1.32975172557788_Nmax_3000_2025-11-17_20_09_48/assembly_2025-11-18_13-26-33_entity_number_2200.pkl,2200,70,329,4368,4596,718,3878,2884,0,399,1801
