zr_mM,runs,successes_to_8,success_fraction,mean_success_time_s,median_success_time_s,std_success_time_s,iqr_success_time_s,q1_success_time_s,q3_success_time_s,mean_final_entities,mean_simulated_time_s
2.0,24,5,0.2083333333333333,7182.722057229873,7243.065967679926,2589.7183168825995,4438.141593678671,5324.598362836174,9762.739956514844,2.9166666666666665,1081251.6020108035
4.0,24,4,0.1666666666666666,68507.2724941024,5905.708671238148,111336.01420120668,68791.32178815798,2810.8296885912896,71602.15147674926,2.75,1149245.7018262532
8.0,24,5,0.2083333333333333,427398.56947141833,359626.4615647576,417821.9892871656,662142.3594165371,5437.254267169469,667579.6136837066,2.708333333333333,1172563.696578565
16.0,24,2,0.0833333333333333,6563.556758688803,6563.556758688803,5702.731043476098,5702.731043476099,3712.1912369507527,9414.922280426852,2.208333333333333,1261009.0339084752
32.0,24,0,0.0,,,,,,,1.4583333333333333,1387473.4236050076
