zr_mM,runs,reached,success_pct,success_median_time_s,terminal_median_time_s,terminal_q1_s,terminal_q3_s,failed_cutoff_median_s,mean_final_entities
24.0,24,2,8.333333333333334,3027.7513349270994,1209841.5498550348,1209696.049002132,1210048.096236067,1209850.9774939455,3.458333333333333
32.0,24,4,16.666666666666668,4895.894491293006,1236074.1076437405,1235979.1144564503,1236251.1057171351,1236128.6614601903,4.708333333333333
40.0,24,1,4.166666666666667,584.9756921888455,1261831.9086608626,1261713.8914983238,1261999.7693271593,1261842.0722452272,2.375
48.0,24,0,0.0,,1287052.9865075927,1286938.6589177223,1287206.2941167164,1287052.9865075927,1.5
64.0,24,0,0.0,,1336143.1348112193,1335938.4310320152,1336311.3939199308,1336143.1348112193,1.75
