Hf,n(BTB)/n(TATB),BTB,n(BTB)/n(TATB)
3.38305129962332,0.48,2.2060138734546,0.68
6.76610259924664,0.93,4.41344004772447,1.15
13.5322051984933,1.59,8.82688009544894,1.71
27.0644103969866,2.26,17.6537601908979,2.05
54.1288207939731,2.26,35.3075203817958,2.43
108.257641587946,2.36,52.9612805726936,2.72
