exp_zr_mM,exp_min,mapped_kmc_zr_mM,free_zr6_mM,free_bdc_mM,prebound_fraction,target8_success_fraction,target8_median_s,target20_success_fraction_raw,target20_success_fraction_jeffreys,target20_terminal_median_s,target20_mean_final_entities,best_model,best_pred_min,best_residual_min,best_T0_min,best_prebound_over_seed_p20_component_min,best_growth_target8_s_component_min
2.0,82.0,24.0,0.3310650434742433,3.97278052169092,0.00680486957727,1.0,57.48875822151614,0.0833333333333333,0.1,1209841.5498550348,3.458333333333333,prebound_over_seed_p20_plus_growth,119.74725442663132,-37.74725442663132,92.07729470022306,20.89363453071183,6.776325195696412
4.0,114.0,32.0,0.6621605940655113,3.945927128786136,0.013518217803466,1.0,86.34805930834753,0.1666666666666666,0.18,1236074.1076437405,4.708333333333333,prebound_over_seed_p20_plus_growth,113.86277346355298,0.1372265364470166,92.07729470022306,11.6074448660583,10.178033897271613
8.0,200.0,40.0,1.3244407994802818,3.893289593763381,0.0266776015591546,1.0,237.43063988221968,0.0416666666666666,0.06,1261831.9086608626,2.375,prebound_over_seed_p20_plus_growth,154.88533246651286,45.114667533487136,92.07729470022306,34.82157089802397,27.986466868265836
16.0,223.0,48.0,2.649341573998099,3.792098887977185,0.0519752780057037,1.0,227.98391521442736,0.0,0.02,1287052.9865075927,1.5,prebound_over_seed_p20_plus_growth,223.41056409953356,-0.4105640995335307,92.07729470022306,104.46030855141316,26.872960847897325
32.0,330.0,64.0,5.300387889587879,3.60465467505455,0.0988363312363624,1.0,1192.5174435125048,0.0,0.02,1336143.1348112193,1.75,prebound_over_seed_p20_plus_growth,337.0940755437695,-7.09407554376952,92.07729470022306,104.45215136165844,140.56462948188798
