target_entities,zr_mM,runs,reach_fraction,mean_time_s,median_time_s,std_time_s,mean_steps,prebound_fraction,prebound_success_pct
8,3.3830513,24,1.0,172.90397289689753,129.42920585627658,146.99191408692897,24817.25,0.0059404013206534,99.97903344166056
8,6.766102599,24,1.0,181.74812669616037,102.47407264216456,183.7511758875022,25992.541666666668,0.0118110937585132,99.92931078010602
8,13.5322052,24,1.0,182.50211440650656,111.4637519219902,174.22311104871602,25126.666666666668,0.0233481724770417,99.91912247889604
8,27.0644104,24,1.0,152.0380435513882,105.44362251685564,151.54249681862126,23180.791666666668,0.0456373373775481,99.91548445517655
8,54.12882079,24,1.0,178.66890174211014,162.8362505802309,181.25038968603175,26467.041666666668,0.0873128175838573,99.9463058419244
8,108.2576416,24,1.0,295.8862094897159,280.7341917544729,186.38899239006776,41133.208333333336,0.1606681015760291,99.97236042012162
8,216.5152832,24,1.0,434.5784992773175,366.49613470268105,397.9508398069256,59533.54166666666,0.2770080888475875,99.98404637187907
20,3.3830513,24,1.0,134.3819513105655,104.90929986286672,107.7759852443627,110801.54166666669,0.0059404013201604,99.61703882637129
20,6.766102599,24,1.0,106.97947733703292,72.97306125016334,110.65984264143582,126082.625,0.0118110937575436,99.64636820142869
20,13.5322052,24,1.0,107.66699712896155,78.09093923013269,96.40311309955604,122634.79166666669,0.0233481724751656,99.53664100370686
20,27.0644104,24,1.0,181.1222089546192,121.86413361523874,220.09070167585537,151964.375,0.0456373373740326,99.71774560684696
20,54.12882079,24,1.0,226.9104918123265,137.83420447296436,255.567613769494,158038.91666666666,0.0873128175776573,99.79017718371152
20,108.2576416,24,1.0,344.2481060226864,263.740601287908,230.1389685883188,233069.91666666663,0.1606681015662306,99.867874150128
20,216.5152832,24,1.0,485.0702282107853,248.10167088157428,609.6827121790544,329983.3333333333,0.2770080888346741,99.89381705563544
100,3.3830513,24,1.0,149.1054469233074,103.79403601064548,115.83111471645246,971180.625,0.0059404013201604,96.91083011203564
100,6.766102599,24,1.0,156.8564763167344,118.37253556315196,169.294154957897,965910.5416666666,0.0118110937575436,97.3192977867861
100,13.5322052,24,1.0,142.45971509953918,115.45125315293105,118.85965437462237,1047307.875,0.0233481724751656,96.80422998902598
100,27.0644104,24,1.0,220.8503350855624,132.5950543829095,253.93221792247004,1051492.7916666667,0.0456373373740326,97.8411513859275
100,54.12882079,24,1.0,317.92751939286853,240.77927363507,267.4409664191906,1251500.25,0.0873128175776573,98.18509514628217
100,108.2576416,24,1.0,353.94956156532135,278.5688616128038,240.6583641602342,1479151.0416666667,0.1606681015662306,98.58179150705028
100,216.5152832,24,1.0,440.1588161542366,287.4317790530555,435.08623070004734,2418561.7916666665,0.2770080888346741,98.17422222222224
