Zr,n(BDC)/n(NH2-BDC),BDC,
1,0.48828125,1,0.0149253731343284
2,0.183553597650514,2,0.0152849107361213
4,0.113122171945701,8,0.0461254612546125
8,0.0598945855294681,16,0.125250501002004
16,0.0279516994633274,32,0.396825396825397
32,0.0185377428444313,--,
