zr_conc,repeat_index,seed,reached_target,time_to_target_seconds,final_entities,steps_executed,simulated_time_seconds,prebound_fraction,effective_zr6_conc,effective_zr6_fraction_for_growth,effective_linker_conc,external_addition_activity,total_external_addition_channel_activity,legacy_external_addition_activity,free_zr6_addition_activity,free_linker_addition_activity,prebound_zr_btb_addition_activity,external_channel_activity_basis,prebound_external_channel_species,distorted_chemistry_model,prebound_growth_attempts,prebound_growth_successes,prebound_growth_failures,prebound_entities_added,prebound_linkages_formed,prebound_free_growth_site_delta,prebound_ready_pair_delta,wall_seconds
0.1,0,41000,True,13.55091958386442,100,241859,13.55091958386442,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,21.188859309256586,0.9906230484982507,0.016358424889856147,21.169155976475594,0.003344907891138137,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,11,6,5,12,12,66,0,81.33964538574219
0.1,1,41001,True,12.46238790134633,100,238327,12.46238790134633,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,21.188859309256586,0.9906230484982507,0.016358424889856147,21.169155976475594,0.003344907891138137,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,11,3,8,6,6,33,0,81.12648963928223
0.1,2,41002,True,293.55690460769034,100,288454,293.55690460769034,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,21.188859309256586,0.9906230484982507,0.016358424889856147,21.169155976475594,0.003344907891138137,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,7,3,4,6,6,33,0,96.37123894691467
0.1,3,41003,True,443.1970982139402,100,306691,443.1970982139402,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,21.188859309256586,0.9906230484982507,0.016358424889856147,21.169155976475594,0.003344907891138137,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,10,6,4,12,12,66,0,99.26532196998596
0.1,4,41004,True,542.1557216402754,100,374775,542.1557216402754,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,21.188859309256586,0.9906230484982507,0.016358424889856147,21.169155976475594,0.003344907891138137,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,7,4,3,8,8,44,0,118.72667622566223
0.1,5,41005,True,349.92405172479806,100,266583,349.92405172479806,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,21.188859309256586,0.9906230484982507,0.016358424889856147,21.169155976475594,0.003344907891138137,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,10,6,4,12,12,66,0,88.47231268882751
0.1,6,41006,True,558.1181053828983,100,323871,558.1181053828983,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,21.188859309256586,0.9906230484982507,0.016358424889856147,21.169155976475594,0.003344907891138137,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,11,8,3,16,16,88,0,107.09816718101501
0.1,7,41007,True,87.26994268003358,100,251574,87.26994268003358,0.00017470016882820366,0.016358424889856147,0.9815054933913688,21.169155976475594,0.9906230484982507,21.188859309256586,0.9906230484982507,0.016358424889856147,21.169155976475594,0.003344907891138137,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,9,5,4,10,10,55,0,81.59674739837646
1.0,0,41100,True,0.9092569593955058,100,41037,0.9092569593955058,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,21.332914559786346,0.989859577422661,0.16358901245742782,21.135923027286452,0.03340252004246518,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,12,5,7,10,10,55,0,13.668954372406006
1.0,1,41101,True,6.93920310197748,100,30565,6.93920310197748,0.0017443018772869642,0.16358901245742782,0.981534074744567,21.135923027286452,0.989859577422661,21.332914559786346,0.989859577422661,0.16358901245742782,21.135923027286452,0.03340252004246518,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,6,4,2,8,8,44,0,9.88996934890747
