zr_conc,runs,reach_fraction_target,mean_time_to_target_seconds,std_time_to_target_seconds,median_time_to_target_seconds,mean_final_entities,mean_simulated_time_seconds,mean_steps_executed,mean_prebound_fraction,mean_prebound_growth_attempts,mean_prebound_growth_successes,mean_prebound_growth_failures,mean_prebound_entities_added,mean_prebound_linkages_formed,mean_prebound_free_growth_site_delta,mean_prebound_ready_pair_delta
1.0,24,1.0,36.533812184110154,31.067100970246145,24.983326010083836,100.16666666666667,36.533812184110154,190423.29166666666,0.0017443018772869642,814.2916666666666,753.0416666666666,61.25,1506.0833333333333,1506.0833333333333,8283.458333333334,0
2.0,24,1.0,45.02882974086723,34.350272416179074,37.09704926543002,100.04166666666667,45.02882974086723,206729.70833333334,0.0034826234067485886,907.875,849.2916666666666,58.583333333333336,1698.5833333333333,1698.5833333333333,9341.708333333334,0.25
3.0,24,1.0,43.29943841323096,28.72641670150837,38.13399408013592,100.08333333333333,43.29943841323096,175146.75,0.005214994809038979,805.5,756.0833333333334,49.416666666666664,1512.1666666666667,1512.1666666666667,8316.833333333334,0.041666666666666664
4.0,24,1.0,29.965280493551088,22.165426045445553,23.686053195096473,100.08333333333333,29.965280493551088,188074.83333333334,0.006941446104819485,760.0416666666666,697.125,62.916666666666664,1394.25,1394.25,7668.208333333333,0.08333333333333333
5.0,24,1.0,39.42684828220216,25.335983227143778,35.19314522433577,100.08333333333333,39.42684828220216,186810.75,0.008662007116382436,809.8333333333334,753.625,56.208333333333336,1507.25,1507.25,8289.541666666666,0.16666666666666666
6.0,24,1.0,29.404554273537194,18.602890169212866,25.61502038377811,100.20833333333333,29.404554273537194,189104.08333333334,0.010376707469259326,754.625,698.0833333333334,56.541666666666664,1396.1666666666667,1396.1666666666667,7678.666666666667,0.125
9.0,24,1.0,37.500803831353835,34.00815490357569,28.156337458499493,100.08333333333333,37.500803831353835,198963.125,0.015485937913020359,818.9166666666666,761.2916666666666,57.625,1522.5833333333333,1522.5833333333333,8373.958333333334,0.125
12.0,24,1.0,37.71082415902316,33.586448575577904,26.049578540075665,100.08333333333333,37.71082415902316,196120.33333333334,0.020543470390248595,804.8333333333334,744.625,60.208333333333336,1489.25,1489.25,8190.541666666667,0.16666666666666666
16.0,24,1.0,35.388917330671624,24.443469693558708,27.441026274725317,100.16666666666667,35.388917330671624,199195.41666666666,0.02720775484714629,792.5,738.9166666666666,53.583333333333336,1477.8333333333333,1477.8333333333333,8128,0.041666666666666664
20.0,24,1.0,36.80199584027875,33.82648306120375,27.73487335503636,100.125,36.80199584027875,207606.58333333334,0.033783278625540605,817.0833333333334,760.1666666666666,56.916666666666664,1520.3333333333333,1520.3333333333333,8361.583333333334,0.125
24.0,24,1.0,34.908355411195004,28.20276090279491,23.910802989575686,100.16666666666667,34.908355411195004,227114.58333333334,0.04027177752004497,877.625,795,82.625,1590,1590,8744.75,0.125
28.0,24,1.0,42.665979354643945,41.27549536742476,35.23836294627887,100.04166666666667,42.665979354643945,209644.08333333334,0.04667494302728013,839.125,777.25,61.875,1554.5,1554.5,8549.333333333334,0.20833333333333334
32.0,24,1.0,39.93814725721478,32.86795604138586,29.022966680812058,100.08333333333333,39.93814725721478,212828.125,0.0529944237284519,830.6666666666666,772.0833333333334,58.583333333333336,1544.1666666666667,1544.1666666666667,8492.833333333334,0.041666666666666664
36.0,24,1.0,43.13658974576887,26.476089473262313,35.546335605970896,100,43.13658974576887,229248.66666666666,0.05923182662129975,878.6666666666666,819.875,58.791666666666664,1639.75,1639.75,9018.375,0.125
40.0,24,1.0,50.00942752712166,41.93844069673171,43.92952892960347,100.04166666666667,50.00942752712166,230630.20833333334,0.06538871840352918,923.2083333333334,855.9583333333334,67.25,1711.9166666666667,1711.9166666666667,9415.208333333334,0.16666666666666666
44.0,24,1.0,52.90539124242444,38.453811487596994,49.96969276020549,100.125,52.90539124242444,242368.375,0.07146662670974217,953.1666666666666,890.25,62.916666666666664,1780.5,1780.5,9792.583333333334,0.08333333333333333
