zr_conc,mode,final_entities,max_entities_seen,simulated_time_seconds,event_num_grow,event_num_grow_success,event_num_grow_fail,event_num_remove,distorted_linker_fraction,off_pathway_linker_fraction,effective_zr6_conc,effective_linker_conc,external_addition_activity
16.0,control,3,7,333.4516393547374,15058,15058,0,14942,0.0,0.0,2.6666666666666665,4.0,1.0
16.0,distorted,1,7,366.69334933481116,15162,14926,236,14838,0.02541528670008244,0.05083057340016488,2.463344373066007,3.7966777063993407,0.9363755588907008
32.0,control,2,7,327.89090351482673,15098,15098,0,14902,0.0,0.0,5.333333333333333,4.0,1.0
32.0,distorted,2,8,377.6522389601521,15302,14822,480,14698,0.04961535885178209,0.09923071770356418,4.936410462519076,3.6030771291857433,0.9130888760250756
64.0,control,18,21,240.6738888725467,11939,11939,0,14830,0.0,0.0,10.666666666666666,4.0,1.0
64.0,distorted,2,9,407.3382182733995,15503,14674,829,14497,0.09469140032530496,0.18938280065060992,9.909135464064226,3.24246879739756,0.8677835796146192
128.0,control,33,36,232.50253679957842,11798,11798,0,14767,0.0,0.0,21.333333333333332,4.0,1.0
128.0,distorted,1,6,462.68563188238,15828,14292,1536,14172,0.1734441588713866,0.3468883177427732,19.94578006236224,2.6124467290289073,0.7814296384610766
