factor,pearson_r (z vs one_plane),pearson_p,spearman_r,spearman_p,cohen_d (raw means diff),mean(y=1),mean(y=0)
FA,0.4521449690290521,1.02483827158442e-15,0.45659515975063875,4.948433749921745e-16,1.01389171937121,12823.695590172316,7230.552355074963
L,-0.24206443029448718,3.7424679332141273e-05,-0.24002283322239013,4.3698787518537314e-05,-0.4989930057838642,16.40123846517948,20.94017884416717
Zr,-0.11333118778159497,0.056440594232626325,-0.10794130287156338,0.06931718235566808,-0.2281435652611298,22.156194940249264,25.131020661385286
KC,-0.09448046349812164,0.11211759352501859,-0.08483565656998272,0.1538849841192651,-0.1898194818433648,1.1165967667393006,1.2104654030369983
SC,-0.00525959349711104,0.9296812060491457,-0.007931789028900824,0.8941289641443002,-0.01051985792314006,1.2020570293885582,1.2071514133492403
