factor,pearson_r (z vs log_rate),pearson_p,spearman_r,spearman_p
Zr,0.3148758823575245,6.969510366095667e-05,0.31480733664277794,6.99629955546988e-05
L,0.21620831570502919,0.007078131592272542,0.2108290249888734,0.008675804334234956
FA,-0.20022978950878745,0.012781166590392802,-0.20946512716548474,0.009128482121512913
SC,0.10318177352804708,0.202868474639828,0.09105579058989442,0.2613945157025664
KC,0.035395196459726996,0.6629812836364936,0.013970914812590817,0.8634608471050275
