,filename,dir_path,SBU_count,BTB_count,plane_count,ellipse_a,ellipse_b,Zr,FA,L,Ratio,Step,Index,SC,KC,plane_area_0,plane_area_1,plane_area_2,plane_area_3,plane_area_4,plane_area_5,plane_area_6,plane_area_7,plane_area_8,plane_area_9,plane_area_10,plane_area_11,plane_area_12
assembly_123772.32870845981.mol2,assembly_123772.32870845981.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_37.80126429471234_FA_19363.18229886624_L_8.29676600153348_Ratio_0.6_Step_1e15.0_Index_3_SC_0.9462261896499998_KC_0.9234756926318602_2025-08-18_22_52_31,15.0,28.0,1,53.606753588987935,33.338724536724044,37.80126429471234,19363.18229886624,8.29676600153348,0.6,1e15.0,3.0,0.9462261896499998,0.9234756926318602,6045.121557202514,,,,,,,,,,,,
assembly_48813.52624730256.mol2,assembly_48813.52624730256.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_5.791303310496285_FA_10825.07473360599_L_3.009348096753961_Ratio_0.6_Step_1e15.0_Index_0_SC_0.8545875778967135_KC_1.864345104176956_2025-08-18_22_52_39,13.0,26.0,1,46.84636817251971,35.904592270001764,5.791303310496285,10825.07473360599,3.009348096753961,0.6,1e15.0,0.0,0.8545875778967135,1.864345104176956,5157.936999753632,,,,,,,,,,,,
assembly_20809.423791757374.mol2,assembly_20809.423791757374.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_6.717406480246902_FA_3917.93809656787_L_32.03173544149234_Ratio_0.6_Step_1e15.0_Index_1_SC_0.8604945169854896_KC_0.1710230996165632_2025-08-18_22_52_37,9.0,16.0,1,36.55585802886386,29.454432746944587,6.717406480246902,3917.93809656787,32.03173544149234,0.6,1e15.0,1.0,0.8604945169854896,0.1710230996165632,3513.8686213640517,,,,,,,,,,,,
assembly_287.75368146747115.mol2,assembly_287.75368146747115.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_16.75889954674182_FA_1085.993661658934_L_7.352476244557252_Ratio_0.6_Step_1e15.0_Index_3_SC_0.5969336596948891_KC_0.8424637863555777_2025-08-18_22_52_40,189.0,421.0,2,126.52803614176374,98.17791899611159,16.75889954674182,1085.993661658934,7.352476244557252,0.6,1e15.0,3.0,0.5969336596948891,0.8424637863555777,45456.85418890898,15381.600600819958,,,,,,,,,,,
assembly_3846.7429699261224.mol2,assembly_3846.7429699261224.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_38.23672348536288_FA_15378.25651840477_L_26.53424156777225_Ratio_0.6_Step_1e15.0_Index_3_SC_1.577268097253141_KC_1.65567395019439_2025-08-18_22_52_32,101.0,205.0,1,122.89772152831772,106.002918792906,38.23672348536288,15378.25651840477,26.53424156777225,0.6,1e15.0,3.0,1.577268097253141,1.65567395019439,40395.311513581735,,,,,,,,,,,,
assembly_139889.4383525189.mol2,assembly_139889.4383525189.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_10.91411687275989_FA_12045.66103263011_L_18.00183916231908_Ratio_0.6_Step_1e15.0_Index_0_SC_1.251321649552846_KC_0.9782414859929512_2025-08-18_22_52_35,31.0,59.0,1,66.7219471805281,49.46237266210509,10.91411687275989,12045.66103263011,18.00183916231908,0.6,1e15.0,0.0,1.251321649552846,0.9782414859929512,12211.256547394602,,,,,,,,,,,,
assembly_273307.48740603763.mol2,assembly_273307.48740603763.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_10.27282596841836_FA_5114.330121364401_L_13.1202600735129_Ratio_0.6_Step_1e15.0_Index_1_SC_1.216810005595321_KC_0.2457721460831695_2025-08-18_22_52_32,8.0,14.0,1,35.073074850465986,26.459414405253348,10.27282596841836,5114.330121364401,13.1202600735129,0.6,1e15.0,1.0,1.216810005595321,0.2457721460831695,3059.9362484444837,,,,,,,,,,,,
assembly_70792.41327663866.mol2,assembly_70792.41327663866.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_2.977823977494118_FA_10371.91455180671_L_25.21451951538628_Ratio_0.6_Step_1e15.0_Index_1_SC_1.933644396867955_KC_0.7100606188343155_2025-08-18_22_52_33,8.0,14.0,1,35.982822133096334,23.698391790594815,2.977823977494118,10371.91455180671,25.21451951538628,0.6,1e15.0,1.0,1.933644396867955,0.7100606188343155,2630.7014488594377,,,,,,,,,,,,
assembly_83481.93158019945.mol2,assembly_83481.93158019945.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_39.16972598969503_FA_8042.840794509557_L_5.600356857380473_Ratio_0.6_Step_1e15.0_Index_0_SC_0.6793424635494052_KC_0.5962043392199176_2025-08-18_22_52_30,12.0,22.0,1,44.52144227911305,28.504939273470253,39.16972598969503,8042.840794509557,5.600356857380473,0.6,1e15.0,0.0,0.6793424635494052,0.5962043392199176,4765.509744445637,,,,,,,,,,,,
assembly_695.5476340085447.mol2,assembly_695.5476340085447.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_33.96403461050071_FA_3231.837052566874_L_28.64056966855832_Ratio_0.6_Step_1e15.0_Index_3_SC_1.650219347157333_KC_1.019526897000774_2025-08-18_22_52_34,232.0,559.0,10,116.3132167105562,63.84274884583141,33.96403461050071,3231.837052566874,28.64056966855832,0.6,1e15.0,3.0,1.650219347157333,1.019526897000774,25160.74986448047,17592.474509122087,16183.377940086926,17929.831867631452,18279.069034657357,15359.972240577958,15039.549443518963,14518.720147400321,14550.17592374907,11067.275345438737,,,
assembly_55385.19894727281.mol2,assembly_55385.19894727281.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_6.860761933538629_FA_8442.628909637247_L_4.025398440597345_Ratio_0.6_Step_1e15.0_Index_0_SC_0.6932211085516965_KC_1.814429693684103_2025-08-18_22_52_38,18.0,34.0,1,50.5309141181163,37.59030894697987,6.860761933538629,8442.628909637247,4.025398440597345,0.6,1e15.0,0.0,0.6932211085516965,1.814429693684103,7000.3520661543835,,,,,,,,,,,,
assembly_1302.0408326561471.mol2,assembly_1302.0408326561471.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_12.51605251783018_FA_4898.445357505262_L_23.06682209669446_Ratio_0.6_Step_1e15.0_Index_3_SC_1.888077415632547_KC_1.575112780498855_2025-08-18_22_52_38,140.0,318.0,4,113.56195909654883,96.08517467633382,12.51605251783018,4898.445357505262,23.06682209669446,0.6,1e15.0,3.0,1.888077415632547,1.575112780498855,36263.264013171785,21226.475410592717,11830.667283288492,8773.465465397523,,,,,,,,,
assembly_11485.50461145651.mol2,assembly_11485.50461145651.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_42.76640552091914_FA_11671.32914568015_L_10.22505301163183_Ratio_0.6_Step_1e15.0_Index_2_SC_1.749605222468828_KC_1.292580602617681_2025-08-18_22_52_38,79.0,155.0,2,88.98054324763157,78.7650598715591,42.76640552091914,11671.32914568015,10.22505301163183,0.6,1e15.0,2.0,1.749605222468828,1.292580602617681,23725.785777686368,13281.998749203523,,,,,,,,,,,
