zr_conc,runs,reach_fraction_target,mean_time_to_target_seconds,std_time_to_target_seconds,median_time_to_target_seconds,mean_final_entities,mean_simulated_time_seconds,mean_steps_executed,mean_prebound_fraction,mean_prebound_growth_attempts,mean_prebound_growth_successes,mean_prebound_growth_failures,mean_prebound_entities_added,mean_prebound_linkages_formed,mean_prebound_free_growth_site_delta,mean_prebound_ready_pair_delta
3.38305,24,1.0,177.57962732459987,142.80812724204367,123.92091332929775,20,177.57962732459987,144153.875,0.0059403990514164656,533.875,531.2916666666666,2.5833333333333335,1062.5833333333333,1062.5833333333333,5844.125,0.041666666666666664
22.758707,24,1.0,232.53792410608617,192.7630919648255,183.72288389103232,20.083333333333332,232.53792410608617,151793.58333333334,0.03865581303924074,642.625,639.7083333333334,2.9166666666666665,1279.4166666666667,1279.4166666666667,7036.791666666667,0
42.134365,24,1.0,217.91516591511126,133.45559715486903,189.4290024044419,20,217.91516591511126,147295.54166666666,0.06929835008488801,592.9166666666666,590.9166666666666,2,1181.8333333333333,1181.8333333333333,6500.083333333333,0
61.510022,24,1.0,298.40699565421465,240.17561679319473,248.05584181354854,20,298.40699565421465,201926.29166666666,0.098057935993716,808.1666666666666,806,2.1666666666666665,1612,1612,8866,0
80.885679,24,1.0,288.1896175632383,238.31235125937033,229.58120538714286,20.125,288.1896175632383,204042.91666666666,0.12510210163636168,765.4583333333334,762.5416666666666,2.9166666666666665,1525.0833333333333,1525.0833333333333,8387.958333333334,0
100.261336,24,1.0,290.32728229249824,198.34467340454188,288.55471084368946,20.041666666666668,290.32728229249824,223898.66666666666,0.1505791683303774,755.6666666666666,753.3333333333334,2.3333333333333335,1506.6666666666667,1506.6666666666667,8286.666666666666,0
119.636994,24,1.0,243.09138263533973,416.3658301556503,122.56448979405089,20,243.09138263533973,228593.08333333334,0.17462091436286986,668.8333333333334,666.4166666666666,2.4166666666666665,1332.8333333333333,1332.8333333333333,7330.583333333333,0
139.012651,24,1.0,355.4046379586303,373.9004501092399,232.92025899085155,20.041666666666668,355.4046379586303,264487.375,0.19734480441776123,891.4583333333334,889.0833333333334,2.375,1778.1666666666667,1778.1666666666667,9779.916666666666,0
158.388308,24,1.0,342.42356505975806,286.4111114292382,297.0875553854414,20.041666666666668,342.42356505975806,318019.9166666667,0.2188558802503477,885.4583333333334,882.7083333333334,2.75,1765.4166666666667,1765.4166666666667,9709.791666666666,0
177.763965,24,1.0,542.7794979737841,539.7228270443931,328.3773404320631,20,542.7794979737841,315185.3333333333,0.23924835027658972,1279.8333333333333,1277.3333333333333,2.5,2554.6666666666665,2554.6666666666665,14050.666666666666,0
197.139623,24,1.0,440.390953430422,440.8414094537899,311.7495958355993,20,440.390953430422,278428.2083333333,0.25860694794688704,1043.625,1041.5416666666667,2.0833333333333335,2083.0833333333335,2083.0833333333335,11456.958333333334,0
216.51528,24,1.0,527.6644582500475,829.8151089856498,164.87662894225326,20,527.6644582500475,374899.125,0.2770080858837029,1249.4583333333333,1247,2.4583333333333335,2494,2494,13717,0
