system,source_file,condition_id,replicate_index,zr_mM,fa_mM,linker_mM,ratio,step,sc,kc,target_entities,raw_time,time_seconds,observed_entities,event,zr_quartile
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_1.969305995373278_FA_20923.740561019_L_16.75172297475205_Ratio_0.6_Step_1e15.0_SC_1.786447557683061_KC_1.895072851875978,3,1.969305995373278,20923.740561019,16.75172297475205,0.6,1000000000000000.0,1.786447557683061,1.895072851875978,20.0,96280.12365629624,23.107229677511096,20.0,1,Q1_lowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_1.969305995373278_FA_20923.740561019_L_16.75172297475205_Ratio_0.6_Step_1e15.0_SC_1.786447557683061_KC_1.895072851875978,4,1.969305995373278,20923.740561019,16.75172297475205,0.6,1000000000000000.0,1.786447557683061,1.895072851875978,20.0,99294.47614335518,23.83067427440524,20.0,1,Q1_lowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_1.969305995373278_FA_20923.740561019_L_16.75172297475205_Ratio_0.6_Step_1e15.0_SC_1.786447557683061_KC_1.895072851875978,5,1.969305995373278,20923.740561019,16.75172297475205,0.6,1000000000000000.0,1.786447557683061,1.895072851875978,20.0,245334.81657094372,58.8803559770265,0.0,0,Q1_lowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_1.969305995373278_FA_20923.740561019_L_16.75172297475205_Ratio_0.6_Step_1e15.0_SC_1.786447557683061_KC_1.895072851875978,6,1.969305995373278,20923.740561019,16.75172297475205,0.6,1000000000000000.0,1.786447557683061,1.895072851875978,20.0,11861.537195691584,2.84676892696598,0.0,0,Q1_lowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_1.969305995373278_FA_20923.740561019_L_16.75172297475205_Ratio_0.6_Step_1e15.0_SC_1.786447557683061_KC_1.895072851875978,7,1.969305995373278,20923.740561019,16.75172297475205,0.6,1000000000000000.0,1.786447557683061,1.895072851875978,20.0,207003.04061891,49.6807297485384,20.0,1,Q1_lowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_24.12681348801501_FA_20189.49138382333_L_34.91418650514471_Ratio_0.6_Step_1e15.0_SC_1.262994701302001_KC_0.1038182414519476,0,24.12681348801501,20189.49138382333,34.91418650514471,0.6,1000000000000000.0,1.262994701302001,0.1038182414519476,20.0,117394.9203316296,28.1747808795911,0.0,0,Q3_midhighZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_24.12681348801501_FA_20189.49138382333_L_34.91418650514471_Ratio_0.6_Step_1e15.0_SC_1.262994701302001_KC_0.1038182414519476,1,24.12681348801501,20189.49138382333,34.91418650514471,0.6,1000000000000000.0,1.262994701302001,0.1038182414519476,20.0,158527.4609395152,38.046590625483645,0.0,0,Q3_midhighZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_24.12681348801501_FA_20189.49138382333_L_34.91418650514471_Ratio_0.6_Step_1e15.0_SC_1.262994701302001_KC_0.1038182414519476,2,24.12681348801501,20189.49138382333,34.91418650514471,0.6,1000000000000000.0,1.262994701302001,0.1038182414519476,20.0,933316.800944995,223.9960322267988,0.0,0,Q3_midhighZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_24.12681348801501_FA_20189.49138382333_L_34.91418650514471_Ratio_0.6_Step_1e15.0_SC_1.262994701302001_KC_0.1038182414519476,3,24.12681348801501,20189.49138382333,34.91418650514471,0.6,1000000000000000.0,1.262994701302001,0.1038182414519476,20.0,817528.9804114781,196.20695529875476,0.0,0,Q3_midhighZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_24.12681348801501_FA_20189.49138382333_L_34.91418650514471_Ratio_0.6_Step_1e15.0_SC_1.262994701302001_KC_0.1038182414519476,4,24.12681348801501,20189.49138382333,34.91418650514471,0.6,1000000000000000.0,1.262994701302001,0.1038182414519476,20.0,931759.875085455,223.6223700205092,0.0,0,Q3_midhighZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_24.12681348801501_FA_20189.49138382333_L_34.91418650514471_Ratio_0.6_Step_1e15.0_SC_1.262994701302001_KC_0.1038182414519476,5,24.12681348801501,20189.49138382333,34.91418650514471,0.6,1000000000000000.0,1.262994701302001,0.1038182414519476,20.0,932851.3952497122,223.8843348599309,0.0,0,Q3_midhighZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_24.12681348801501_FA_20189.49138382333_L_34.91418650514471_Ratio_0.6_Step_1e15.0_SC_1.262994701302001_KC_0.1038182414519476,6,24.12681348801501,20189.49138382333,34.91418650514471,0.6,1000000000000000.0,1.262994701302001,0.1038182414519476,20.0,932955.057216358,223.90921373192592,0.0,0,Q3_midhighZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_24.12681348801501_FA_20189.49138382333_L_34.91418650514471_Ratio_0.6_Step_1e15.0_SC_1.262994701302001_KC_0.1038182414519476,7,24.12681348801501,20189.49138382333,34.91418650514471,0.6,1000000000000000.0,1.262994701302001,0.1038182414519476,20.0,217698.0148704069,52.24752356889766,0.0,0,Q3_midhighZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_14.37591601968112_FA_10642.25324562019_L_9.705542504181505_Ratio_0.6_Step_1e15.0_SC_1.372884712169299_KC_1.709596414863621,0,14.37591601968112,10642.25324562019,9.705542504181505,0.6,1000000000000000.0,1.372884712169299,1.709596414863621,20.0,5835.2014956633575,1.4004483589592056,20.0,1,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_14.37591601968112_FA_10642.25324562019_L_9.705542504181505_Ratio_0.6_Step_1e15.0_SC_1.372884712169299_KC_1.709596414863621,1,14.37591601968112,10642.25324562019,9.705542504181505,0.6,1000000000000000.0,1.372884712169299,1.709596414863621,20.0,2993.4958389309427,0.7184390013434262,20.0,1,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_14.37591601968112_FA_10642.25324562019_L_9.705542504181505_Ratio_0.6_Step_1e15.0_SC_1.372884712169299_KC_1.709596414863621,2,14.37591601968112,10642.25324562019,9.705542504181505,0.6,1000000000000000.0,1.372884712169299,1.709596414863621,20.0,2882.0005871317244,0.6916801409116138,20.0,1,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_14.37591601968112_FA_10642.25324562019_L_9.705542504181505_Ratio_0.6_Step_1e15.0_SC_1.372884712169299_KC_1.709596414863621,3,14.37591601968112,10642.25324562019,9.705542504181505,0.6,1000000000000000.0,1.372884712169299,1.709596414863621,20.0,13791.971805221112,3.3100732332530667,20.0,1,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_14.37591601968112_FA_10642.25324562019_L_9.705542504181505_Ratio_0.6_Step_1e15.0_SC_1.372884712169299_KC_1.709596414863621,4,14.37591601968112,10642.25324562019,9.705542504181505,0.6,1000000000000000.0,1.372884712169299,1.709596414863621,20.0,5409.693280459248,1.298326387310219,20.0,1,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_14.37591601968112_FA_10642.25324562019_L_9.705542504181505_Ratio_0.6_Step_1e15.0_SC_1.372884712169299_KC_1.709596414863621,5,14.37591601968112,10642.25324562019,9.705542504181505,0.6,1000000000000000.0,1.372884712169299,1.709596414863621,20.0,3556.0283223189017,0.8534467973565363,20.0,1,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_14.37591601968112_FA_10642.25324562019_L_9.705542504181505_Ratio_0.6_Step_1e15.0_SC_1.372884712169299_KC_1.709596414863621,6,14.37591601968112,10642.25324562019,9.705542504181505,0.6,1000000000000000.0,1.372884712169299,1.709596414863621,20.0,24857.33604931464,5.965760651835512,20.0,1,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_14.37591601968112_FA_10642.25324562019_L_9.705542504181505_Ratio_0.6_Step_1e15.0_SC_1.372884712169299_KC_1.709596414863621,7,14.37591601968112,10642.25324562019,9.705542504181505,0.6,1000000000000000.0,1.372884712169299,1.709596414863621,20.0,17374.11535591967,4.16978768542072,20.0,1,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_17.76904204227063_FA_15029.65812699399_L_1.905453000260682_Ratio_0.6_Step_1e15.0_SC_1.505060883797205_KC_0.534569514866505,0,17.76904204227063,15029.65812699399,1.905453000260682,0.6,1000000000000000.0,1.505060883797205,0.534569514866505,20.0,107396.03645019452,25.77504874804668,0.0,0,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_17.76904204227063_FA_15029.65812699399_L_1.905453000260682_Ratio_0.6_Step_1e15.0_SC_1.505060883797205_KC_0.534569514866505,1,17.76904204227063,15029.65812699399,1.905453000260682,0.6,1000000000000000.0,1.505060883797205,0.534569514866505,20.0,83924.6674695434,20.141920192690414,0.0,0,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_17.76904204227063_FA_15029.65812699399_L_1.905453000260682_Ratio_0.6_Step_1e15.0_SC_1.505060883797205_KC_0.534569514866505,2,17.76904204227063,15029.65812699399,1.905453000260682,0.6,1000000000000000.0,1.505060883797205,0.534569514866505,20.0,1038883.6373597992,249.3320729663518,0.0,0,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_17.76904204227063_FA_15029.65812699399_L_1.905453000260682_Ratio_0.6_Step_1e15.0_SC_1.505060883797205_KC_0.534569514866505,3,17.76904204227063,15029.65812699399,1.905453000260682,0.6,1000000000000000.0,1.505060883797205,0.534569514866505,20.0,935041.0859349702,224.4098606243928,0.0,0,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_17.76904204227063_FA_15029.65812699399_L_1.905453000260682_Ratio_0.6_Step_1e15.0_SC_1.505060883797205_KC_0.534569514866505,4,17.76904204227063,15029.65812699399,1.905453000260682,0.6,1000000000000000.0,1.505060883797205,0.534569514866505,20.0,1038734.2049094292,249.29620917826296,0.0,0,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_17.76904204227063_FA_15029.65812699399_L_1.905453000260682_Ratio_0.6_Step_1e15.0_SC_1.505060883797205_KC_0.534569514866505,5,17.76904204227063,15029.65812699399,1.905453000260682,0.6,1000000000000000.0,1.505060883797205,0.534569514866505,20.0,4927.844650181777,1.1826827160436264,0.0,0,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_17.76904204227063_FA_15029.65812699399_L_1.905453000260682_Ratio_0.6_Step_1e15.0_SC_1.505060883797205_KC_0.534569514866505,6,17.76904204227063,15029.65812699399,1.905453000260682,0.6,1000000000000000.0,1.505060883797205,0.534569514866505,20.0,764800.6640772992,183.55215937855175,0.0,0,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_17.76904204227063_FA_15029.65812699399_L_1.905453000260682_Ratio_0.6_Step_1e15.0_SC_1.505060883797205_KC_0.534569514866505,7,17.76904204227063,15029.65812699399,1.905453000260682,0.6,1000000000000000.0,1.505060883797205,0.534569514866505,20.0,378016.1733238861,90.72388159773266,0.0,0,Q2_midlowZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_39.94778396076346_FA_20796.21724669613_L_5.286988480748416_Ratio_0.6_Step_1e15.0_SC_0.6336613181399874_KC_0.4699294968310634,0,39.94778396076346,20796.21724669613,5.286988480748416,0.6,1000000000000000.0,0.6336613181399874,0.4699294968310634,20.0,821199.1831959084,197.087803967018,0.0,0,Q4_highZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_39.94778396076346_FA_20796.21724669613_L_5.286988480748416_Ratio_0.6_Step_1e15.0_SC_0.6336613181399874_KC_0.4699294968310634,1,39.94778396076346,20796.21724669613,5.286988480748416,0.6,1000000000000000.0,0.6336613181399874,0.4699294968310634,20.0,926674.688907851,222.40192533788425,0.0,0,Q4_highZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_39.94778396076346_FA_20796.21724669613_L_5.286988480748416_Ratio_0.6_Step_1e15.0_SC_0.6336613181399874_KC_0.4699294968310634,2,39.94778396076346,20796.21724669613,5.286988480748416,0.6,1000000000000000.0,0.6336613181399874,0.4699294968310634,20.0,928333.8851451806,222.8001324348433,0.0,0,Q4_highZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_39.94778396076346_FA_20796.21724669613_L_5.286988480748416_Ratio_0.6_Step_1e15.0_SC_0.6336613181399874_KC_0.4699294968310634,3,39.94778396076346,20796.21724669613,5.286988480748416,0.6,1000000000000000.0,0.6336613181399874,0.4699294968310634,20.0,929266.9253164164,223.02406207593992,0.0,0,Q4_highZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_39.94778396076346_FA_20796.21724669613_L_5.286988480748416_Ratio_0.6_Step_1e15.0_SC_0.6336613181399874_KC_0.4699294968310634,4,39.94778396076346,20796.21724669613,5.286988480748416,0.6,1000000000000000.0,0.6336613181399874,0.4699294968310634,20.0,847317.1399768457,203.35611359444292,0.0,0,Q4_highZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_39.94778396076346_FA_20796.21724669613_L_5.286988480748416_Ratio_0.6_Step_1e15.0_SC_0.6336613181399874_KC_0.4699294968310634,5,39.94778396076346,20796.21724669613,5.286988480748416,0.6,1000000000000000.0,0.6336613181399874,0.4699294968310634,20.0,1025725.5123465236,246.17412296316564,0.0,0,Q4_highZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_39.94778396076346_FA_20796.21724669613_L_5.286988480748416_Ratio_0.6_Step_1e15.0_SC_0.6336613181399874_KC_0.4699294968310634,6,39.94778396076346,20796.21724669613,5.286988480748416,0.6,1000000000000000.0,0.6336613181399874,0.4699294968310634,20.0,1001702.818232079,240.40867637569892,0.0,0,Q4_highZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_39.94778396076346_FA_20796.21724669613_L_5.286988480748416_Ratio_0.6_Step_1e15.0_SC_0.6336613181399874_KC_0.4699294968310634,7,39.94778396076346,20796.21724669613,5.286988480748416,0.6,1000000000000000.0,0.6336613181399874,0.4699294968310634,20.0,895487.2594364305,214.9169422647433,0.0,0,Q4_highZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_43.15942583627969_FA_4005.74599526846_L_26.39806239806473_Ratio_0.6_Step_1e15.0_SC_0.404179765479908_KC_0.6276409236188392,0,43.15942583627969,4005.74599526846,26.39806239806473,0.6,1000000000000000.0,0.404179765479908,0.6276409236188392,20.0,10323.170624412503,2.4775609498590008,20.0,1,Q4_highZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_43.15942583627969_FA_4005.74599526846_L_26.39806239806473_Ratio_0.6_Step_1e15.0_SC_0.404179765479908_KC_0.6276409236188392,1,43.15942583627969,4005.74599526846,26.39806239806473,0.6,1000000000000000.0,0.404179765479908,0.6276409236188392,20.0,628.7225203216245,0.1508934048771898,20.0,1,Q4_highZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_43.15942583627969_FA_4005.74599526846_L_26.39806239806473_Ratio_0.6_Step_1e15.0_SC_0.404179765479908_KC_0.6276409236188392,2,43.15942583627969,4005.74599526846,26.39806239806473,0.6,1000000000000000.0,0.404179765479908,0.6276409236188392,20.0,1848.8078091830428,0.4437138742039302,20.0,1,Q4_highZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_43.15942583627969_FA_4005.74599526846_L_26.39806239806473_Ratio_0.6_Step_1e15.0_SC_0.404179765479908_KC_0.6276409236188392,3,43.15942583627969,4005.74599526846,26.39806239806473,0.6,1000000000000000.0,0.404179765479908,0.6276409236188392,20.0,5083.659508588757,1.2200782820613014,20.0,1,Q4_highZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_43.15942583627969_FA_4005.74599526846_L_26.39806239806473_Ratio_0.6_Step_1e15.0_SC_0.404179765479908_KC_0.6276409236188392,4,43.15942583627969,4005.74599526846,26.39806239806473,0.6,1000000000000000.0,0.404179765479908,0.6276409236188392,20.0,4177.370523675008,1.0025689256820016,20.0,1,Q4_highZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_43.15942583627969_FA_4005.74599526846_L_26.39806239806473_Ratio_0.6_Step_1e15.0_SC_0.404179765479908_KC_0.6276409236188392,5,43.15942583627969,4005.74599526846,26.39806239806473,0.6,1000000000000000.0,0.404179765479908,0.6276409236188392,20.0,10389.987272548658,2.493596945411678,20.0,1,Q4_highZr
BTB-MOL_legacy_ml,C:\Users\yibinjiang\Documents\GitHub\mof-growth-simulator\MOL_nucleation\MOL_batch0.pkl,Zr_43.15942583627969_FA_4005.74599526846_L_26.39806239806473_Ratio_0.6_Step_1e15.0_SC_0.404179765479908_KC_0.6276409236188392,6,43.15942583627969,4005.74599526846,26.39806239806473,0.6,1000000000000000.0,0.404179765479908,0.6276409236188392,20.0,9674.854653495477,2.3219651168389137,20.0,1,Q4_highZr
