fold,rf_majority_roc_auc,rf_majority_brier,rf_majority_accuracy,survival_majority_roc_auc,survival_majority_brier,survival_majority_accuracy,replicate_c_index
1,0.8571428571428572,0.12833333333333335,0.85,0.8333333333333334,0.14670520887885158,0.75,0.739524300188906
2,0.8690476190476191,0.14657111111111112,0.8,0.8333333333333333,0.20008133422574556,0.7,0.7340130578660227
3,0.9166666666666667,0.12061277777777782,0.85,0.761904761904762,0.2329372975695005,0.75,0.7428185933147632
4,1.0,0.08430111111111112,0.8,0.9404761904761905,0.10839925716655092,0.8,0.8243509553594379
5,1.0,0.06371833333333332,1.0,0.88,0.10220673036089492,0.9,0.7580957187316006
