zr_conc,repeat_index,seed,reached_target,time_to_target_seconds,final_entities,steps_executed,simulated_time_seconds,prebound_fraction,effective_zr6_conc,effective_zr6_fraction_for_growth,effective_linker_conc,external_addition_activity,total_external_addition_channel_activity,legacy_external_addition_activity,free_zr6_addition_activity,free_linker_addition_activity,prebound_zr_btb_addition_activity,external_channel_activity_basis,prebound_external_channel_species,distorted_chemistry_model,prebound_growth_attempts,prebound_growth_successes,prebound_growth_failures,prebound_entities_added,prebound_linkages_formed,prebound_free_growth_site_delta,prebound_ready_pair_delta,wall_seconds
24.0,0,41000,True,1.6585801595155645,100,45223,1.6585801595155645,0.040706465238191394,3.9728623565078727,0.9932155891269682,7.6743482780944685,0.9761072140262776,11.960981555402963,0.9761072140262776,3.9728623565078727,7.6743482780944685,0.31377092080062163,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,93,83,10,166,166,913,0,3.6880064010620117
24.0,1,41001,True,0.8975990011098057,100,48376,0.8975990011098057,0.040706465238191394,3.9728623565078727,0.9932155891269682,7.6743482780944685,0.9761072140262776,11.960981555402963,0.9761072140262776,3.9728623565078727,7.6743482780944685,0.31377092080062163,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,81,74,7,148,148,814,0,3.9286253452301025
24.0,2,41002,True,0.7663225424646052,100,31867,0.7663225424646052,0.040706465238191394,3.9728623565078727,0.9932155891269682,7.6743482780944685,0.9761072140262776,11.960981555402963,0.9761072140262776,3.9728623565078727,7.6743482780944685,0.31377092080062163,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,71,55,16,110,110,605,0,3.2374868392944336
24.0,3,41003,True,1.7311958694013052,100,43770,1.7311958694013052,0.040706465238191394,3.9728623565078727,0.9932155891269682,7.6743482780944685,0.9761072140262776,11.960981555402963,0.9761072140262776,3.9728623565078727,7.6743482780944685,0.31377092080062163,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,96,77,19,154,154,847,0,3.8514962196350098
24.0,4,41004,True,2.589241778983831,100,33580,2.589241778983831,0.040706465238191394,3.9728623565078727,0.9932155891269682,7.6743482780944685,0.9761072140262776,11.960981555402963,0.9761072140262776,3.9728623565078727,7.6743482780944685,0.31377092080062163,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,99,80,19,160,160,880,0,3.312138557434082
24.0,5,41005,True,1.9193162956565057,100,43271,1.9193162956565057,0.040706465238191394,3.9728623565078727,0.9932155891269682,7.6743482780944685,0.9761072140262776,11.960981555402963,0.9761072140262776,3.9728623565078727,7.6743482780944685,0.31377092080062163,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,73,57,16,114,114,627,0,3.7155675888061523
24.0,6,41006,True,0.9308171768053719,100,39673,0.9308171768053719,0.040706465238191394,3.9728623565078727,0.9932155891269682,7.6743482780944685,0.9761072140262776,11.960981555402963,0.9761072140262776,3.9728623565078727,7.6743482780944685,0.31377092080062163,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,75,59,16,118,118,649,0,3.768075942993164
24.0,7,41007,True,1.3716524724052008,100,71595,1.3716524724052008,0.040706465238191394,3.9728623565078727,0.9932155891269682,7.6743482780944685,0.9761072140262776,11.960981555402963,0.9761072140262776,3.9728623565078727,7.6743482780944685,0.31377092080062163,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,126,112,14,224,224,1232,0,6.0990235805511475
36.0,0,41100,True,2.1991719650835893,100,35556,2.1991719650835893,0.059848157377196426,5.960101228415202,0.993350204735867,7.521214740982429,0.9663850295571452,13.942972599762907,0.9663850295571452,5.960101228415202,7.521214740982429,0.4616566303652758,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,144,117,27,234,234,1287,0,3.503572463989258
36.0,1,41101,True,0.7973697106770689,100,29828,0.7973697106770689,0.059848157377196426,5.960101228415202,0.993350204735867,7.521214740982429,0.9663850295571452,13.942972599762907,0.9663850295571452,5.960101228415202,7.521214740982429,0.4616566303652758,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,89,63,26,126,126,693,0,3.2558822631835938
36.0,2,41102,True,0.7650388249311375,100,26916,0.7650388249311375,0.059848157377196426,5.960101228415202,0.993350204735867,7.521214740982429,0.9663850295571452,13.942972599762907,0.9663850295571452,5.960101228415202,7.521214740982429,0.4616566303652758,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,94,79,15,158,158,869,0,2.5278215408325195
36.0,3,41103,True,0.46236610731925476,100,24345,0.46236610731925476,0.059848157377196426,5.960101228415202,0.993350204735867,7.521214740982429,0.9663850295571452,13.942972599762907,0.9663850295571452,5.960101228415202,7.521214740982429,0.4616566303652758,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,78,70,8,140,140,770,0,2.400102376937866
36.0,4,41104,True,2.052908434409692,100,32797,2.052908434409692,0.059848157377196426,5.960101228415202,0.993350204735867,7.521214740982429,0.9663850295571452,13.942972599762907,0.9663850295571452,5.960101228415202,7.521214740982429,0.4616566303652758,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,111,101,10,202,202,1111,0,2.9173974990844727
