zr_mM,exp_min,system,norm_exp_time
3.3830513,36.0,Hf-BTB-MOL,3.272727272727273
6.766102599,17.0,Hf-BTB-MOL,1.5454545454545454
13.5322052,13.0,Hf-BTB-MOL,1.1818181818181819
27.0644104,11.0,Hf-BTB-MOL,1.0
54.12882079,11.0,Hf-BTB-MOL,1.0
108.2576416,12.0,Hf-BTB-MOL,1.0909090909090908
216.5152832,15.0,Hf-BTB-MOL,1.3636363636363635
2.0,82.0,UiO-66,1.0
4.0,114.0,UiO-66,1.3902439024390243
8.0,200.0,UiO-66,2.4390243902439024
16.0,223.0,UiO-66,2.7195121951219514
32.0,330.0,UiO-66,4.024390243902439
