zr_mM,target_entities,runs,reached,success_pct,success_median_time_s,terminal_median_time_s,failed_cutoff_median_s,mean_final_entities
24.0,20,24,2,8.333333333333334,3027.7513349270994,1209841.5498550348,1209850.9774939455,3.458333333333333
32.0,20,24,4,16.666666666666668,4895.894491293006,1236074.1076437405,1236128.6614601903,4.708333333333333
40.0,20,24,1,4.166666666666667,584.9756921888455,1261831.9086608626,1261842.0722452272,2.375
48.0,20,24,0,0.0,,1287052.9865075927,1287052.9865075927,1.5
64.0,20,24,0,0.0,,1336143.1348112193,1336143.1348112193,1.75
