zr_mM,new_one_shot_mean_s,new_one_shot_median_s,new_one_shot_success_rate_pct,new_one_shot_metal_success_rate_pct,new_one_shot_linker_success_rate_pct,new_one_shot_prebound_attempts,mean_slowdown_factor,median_slowdown_factor
24.0,93.33748217288,57.48875822151614,61.23538294061874,90.8401905586834,6.576711644177911,1186.5416666666667,2.901311399165572,2.000254523912698
32.0,121.62592459005704,86.34805930834753,62.81367027393625,92.2025179369162,7.394486044928524,1413.0416666666667,2.6611796375772503,2.3140660146652885
40.0,355.8407691444665,237.43063988221968,64.04391779379692,93.49480856057768,7.103239631917307,3878.4583333333335,3.4350890824534925,3.3590792959343903
48.0,457.1238270166936,227.98391521442736,65.79986601318713,94.25832293650272,7.702619373173543,4726.833333333333,1.7230038383407382,1.440460783627962
64.0,2152.275153278524,1192.5174435125048,68.0945552111764,95.527398809997,7.682673920655013,19815.58333333333,4.217201469783903,2.6926378808952847
